City,Country,Duration,Price,Airline,Airport,Depart,Return,Link
Astúrias,Espanha,865,166.47,Várias companhias aéreas,OVD,2023-06-18,2023-06-22,http://kayak.com/flights/MXP-OVD/2023-06-18/2023-06-22/
Atenas,Grécia,160,97.11,easyJet,ATH,2023-06-21,2023-06-25,http://kayak.com/flights/MXP-ATH/2023-06-21/2023-06-25/
Badajoz,Espanha,880,232.14,Várias companhias aéreas,BJZ,2023-06-03,2023-06-07,http://kayak.com/flights/MXP-BJZ/2023-06-03/2023-06-07/
Banguecoque,Tailândia,2075,812.93,Etihad Airways,BKK,2023-06-09,2023-06-16,http://kayak.com/flights/MXP-BKK/2023-06-09/2023-06-16/
Banjul,Gâmbia,585,481.84,Royal Air Maroc,BJL,2023-06-03,2023-06-10,http://kayak.com/flights/MXP-BJL/2023-06-03/2023-06-10/
Barcelona,Espanha,105,53.65,Ryanair,BCN,2023-06-14,2023-06-21,http://kayak.com/flights/MXP-BCN/2023-06-14/2023-06-21/
Bari,Itália,100,31.45,Ryanair,BRI,2023-06-06,2023-06-13,http://kayak.com/flights/MXP-BRI/2023-06-06/2023-06-13/
Bastia,França,645,531.78,Várias companhias aéreas,BIA,2023-06-16,2023-06-20,http://kayak.com/flights/MXP-BIA/2023-06-16/2023-06-20/
Beirute,Líbano,810,348.67,Várias companhias aéreas,BEY,2023-06-24,2023-06-30,http://kayak.com/flights/MXP-BEY/2023-06-24/2023-06-30/
Bergen,Noruega,995,261.73,Várias companhias aéreas,BGO,2023-06-22,2023-06-27,http://kayak.com/flights/MXP-BGO/2023-06-22/2023-06-27/
Biarritz,França,1395,159.08,easyJet,BIQ,2023-06-22,2023-06-26,http://kayak.com/flights/MXP-BIQ/2023-06-22/2023-06-26/
Bilbau,Espanha,750,91.56,Várias companhias aéreas,BIO,2023-06-22,2023-06-26,http://kayak.com/flights/MXP-BIO/2023-06-22/2023-06-26/
Bishkek,Quirguizistão,1080,612.24,Turkish Airlines,FRU,2023-06-07,2023-06-14,http://kayak.com/flights/MXP-FRU/2023-06-07/2023-06-14/
Boston,Estados Unidos,1970,504.04,Turkish Airlines,BOS,2023-06-19,2023-06-25,http://kayak.com/flights/MXP-BOS/2023-06-19/2023-06-25/
Bratislava,Eslováquia,2040,2277.86,Várias companhias aéreas,BTS,2023-06-01,2023-06-08,http://kayak.com/flights/MXP-BTS/2023-06-01/2023-06-08/
Bridgetown,Barbados,2365,881.37,Air Canada,BGI,2023-06-14,2023-06-21,http://kayak.com/flights/MXP-BGI/2023-06-14/2023-06-21/
Brindisi,Itália,105,82.31,Ryanair,BDS,2023-06-21,2023-06-25,http://kayak.com/flights/MXP-BDS/2023-06-21/2023-06-25/
Bruxelas,Bélgica,90,83.24,Brussels Airlines,BRU,2023-06-19,2023-06-23,http://kayak.com/flights/MXP-BRU/2023-06-19/2023-06-23/
Bucareste,Roménia,745,118.38,Ryanair,BUH,2023-06-05,2023-06-11,http://kayak.com/flights/MXP-BUH/2023-06-05/2023-06-11/
Budapeste,Hungria,220,203.47,Várias companhias aéreas,BUD,2023-06-21,2023-06-26,http://kayak.com/flights/MXP-BUD/2023-06-21/2023-06-26/
Burbank,Estados Unidos,1340,1251.3,Várias companhias aéreas,BUR,2023-06-10,2023-06-17,http://kayak.com/flights/MXP-BUR/2023-06-10/2023-06-17/
Cagliari,Itália,90,35.15,easyJet,CAG,2023-06-07,2023-06-14,http://kayak.com/flights/MXP-CAG/2023-06-07/2023-06-14/
Cairo,Egito,615,273.75,Várias companhias aéreas,CAI,2023-06-22,2023-06-27,http://kayak.com/flights/MXP-CAI/2023-06-22/2023-06-27/
Calamata,Grécia,695,354.21,Várias companhias aéreas,KLX,2023-06-11,2023-06-18,http://kayak.com/flights/MXP-KLX/2023-06-11/2023-06-18/
Cancún,México,1705,627.04,TAP AIR PORTUGAL,CUN,2023-06-02,2023-06-09,http://kayak.com/flights/MXP-CUN/2023-06-02/2023-06-09/
Catânia,Itália,125,80.47,Ryanair,CTA,2023-06-19,2023-06-25,http://kayak.com/flights/MXP-CTA/2023-06-19/2023-06-25/
Chania,Grécia,700,176.65,Várias companhias aéreas,CHQ,2023-06-23,2023-06-30,http://kayak.com/flights/MXP-CHQ/2023-06-23/2023-06-30/
Chicago,Estados Unidos,1550,513.29,Várias companhias aéreas,ORD,2023-06-21,2023-06-26,http://kayak.com/flights/MXP-ORD/2023-06-21/2023-06-26/
Cidade do Cabo,África do Sul,1555,595.6,Várias companhias aéreas,CPT,2023-06-08,2023-06-15,http://kayak.com/flights/MXP-CPT/2023-06-08/2023-06-15/
Colombo,Sri Lanka,1760,635.36,Qatar Airways,CMB,2023-06-11,2023-06-16,http://kayak.com/flights/MXP-CMB/2023-06-11/2023-06-16/
Comiso,Itália,120,71.22,Ryanair,CIY,2023-06-13,2023-06-20,http://kayak.com/flights/MXP-CIY/2023-06-13/2023-06-20/
Copenhaga,Dinamarca,130,73.07,easyJet,CPH,2023-06-16,2023-06-20,http://kayak.com/flights/MXP-CPH/2023-06-16/2023-06-20/
Corfú,Grécia,265,113.76,Ryanair,CFU,2023-06-18,2023-06-24,http://kayak.com/flights/MXP-CFU/2023-06-18/2023-06-24/
Cozumel,México,1967,1139.4,American Airlines,CZM,2023-06-08,2023-06-14,http://kayak.com/flights/MXP-CZM/2023-06-08/2023-06-14/
Dakar,Senegal,1545,676.06,Turkish Airlines,DSS,2023-06-26,2023-06-30,http://kayak.com/flights/MXP-DSS/2023-06-26/2023-06-30/
Denpasar,Indonésia,1590,788.88,Várias companhias aéreas,DPS,2023-06-08,2023-06-15,http://kayak.com/flights/MXP-DPS/2023-06-08/2023-06-15/
Denver,Estados Unidos,1205,688.08,American Airlines,DEN,2023-06-14,2023-06-18,http://kayak.com/flights/MXP-DEN/2023-06-14/2023-06-18/
Dubai,Emirados Árabes Unidos,570,355.14,Lufthansa,DXB,2023-06-07,2023-06-14,http://kayak.com/flights/MXP-DXB/2023-06-07/2023-06-14/
Dublin,Irlanda,155,90.64,Ryanair,DUB,2023-06-03,2023-06-07,http://kayak.com/flights/MXP-DUB/2023-06-03/2023-06-07/
Dubrovnik,Croácia,1355,109.13,easyJet,DBV,2023-06-17,2023-06-24,http://kayak.com/flights/MXP-DBV/2023-06-17/2023-06-24/
Edimburgo,Reino Unido,620,175.72,Várias companhias aéreas,EDI,2023-06-01,2023-06-05,http://kayak.com/flights/MXP-EDI/2023-06-01/2023-06-05/
Escíato,Grécia,980,159.08,Várias companhias aéreas,JSI,2023-06-10,2023-06-17,http://kayak.com/flights/MXP-JSI/2023-06-10/2023-06-17/
Estocolmo,Suécia,1040,187.75,SWISS,STO,2023-06-19,2023-06-23,http://kayak.com/flights/MXP-STO/2023-06-19/2023-06-23/
Estrasburgo,França,1330,306.12,Air France,SXB,2023-06-26,2023-06-30,http://kayak.com/flights/MXP-SXB/2023-06-26/2023-06-30/
Faro,Portugal,435,113.76,TAP AIR PORTUGAL,FAO,2023-06-19,2023-06-26,http://kayak.com/flights/MXP-FAO/2023-06-19/2023-06-26/
Figari,França,395,326.47,Air France,FSC,2023-06-05,2023-06-11,http://kayak.com/flights/MXP-FSC/2023-06-05/2023-06-11/
Filadélfia,Estados Unidos,2105,520.68,British Airways,PHL,2023-06-09,2023-06-13,http://kayak.com/flights/MXP-PHL/2023-06-09/2023-06-13/
Fort Lauderdale,Estados Unidos,1382,1116.27,Várias companhias aéreas,FLL,2023-06-04,2023-06-10,http://kayak.com/flights/MXP-FLL/2023-06-04/2023-06-10/
Funchal,Portugal,245,61.04,easyJet,FNC,2023-06-13,2023-06-20,http://kayak.com/flights/MXP-FNC/2023-06-13/2023-06-20/
Girona,Espanha,340,219.19,Várias companhias aéreas,GRO,2023-06-25,2023-06-30,http://kayak.com/flights/MXP-GRO/2023-06-25/2023-06-30/
Glasgow,Reino Unido,1020,178.5,Várias companhias aéreas,GLA,2023-06-01,2023-06-05,http://kayak.com/flights/MXP-GLA/2023-06-01/2023-06-05/
Granada,Espanha,380,169.25,Iberia,GRX,2023-06-17,2023-06-24,http://kayak.com/flights/MXP-GRX/2023-06-17/2023-06-24/
Granadilla de Abona,Espanha,275,78.62,easyJet,TFS,2023-06-17,2023-06-22,http://kayak.com/flights/MXP-TFS/2023-06-17/2023-06-22/
Grand'Anse Praslin,Seicheles,2175,821.25,Várias companhias aéreas,PRI,2023-06-14,2023-06-21,http://kayak.com/flights/MXP-PRI/2023-06-14/2023-06-21/
Helsínquia,Finlândia,1270,144.28,airBaltic,HEL,2023-06-15,2023-06-20,http://kayak.com/flights/MXP-HEL/2023-06-15/2023-06-20/
Heraclião,Grécia,175,68.44,easyJet,HER,2023-06-06,2023-06-13,http://kayak.com/flights/MXP-HER/2023-06-06/2023-06-13/
Honolulu,Estados Unidos,2390,819.4,United Airlines,HNL,2023-06-05,2023-06-12,http://kayak.com/flights/MXP-HNL/2023-06-05/2023-06-12/
Houmt Souk,Tunísia,685,291.33,Várias companhias aéreas,DJE,2023-06-12,2023-06-18,http://kayak.com/flights/MXP-DJE/2023-06-12/2023-06-18/
Hurghada,Egito,1115,356.99,Várias companhias aéreas,HRG,2023-06-05,2023-06-11,http://kayak.com/flights/MXP-HRG/2023-06-05/2023-06-11/
Ibiza,Espanha,115,37.0,easyJet,IBZ,2023-06-26,2023-06-30,http://kayak.com/flights/MXP-IBZ/2023-06-26/2023-06-30/
Incheon,Coreia do Sul,2395,605.77,LOT,ICN,2023-06-18,2023-06-23,http://kayak.com/flights/MXP-ICN/2023-06-18/2023-06-23/
