City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice,year_depart,month_depart,CityOrigin,minPrice,meanPrice,medianPrice,timestamp,is_smaller,difPrice,difPricePct
Lampang,Tailândia,3075,1507.12,Várias companhias aéreas,LPT,2023-07-27,2023-08-03,http://kayak.com/flights/OPO-LPT/2023-07-27/2023-08-03/,1507.12,1.0,2023,7,OPO,1507.36,1507.36,1507.36,2023-03-20 02:40:41,True,-0.2400000000000091,-0.015921876658529423
Mont Lubin,Maurícia,2720,1569.92,Várias companhias aéreas,RRG,2023-08-01,2023-08-06,http://kayak.com/flights/OPO-RRG/2023-08-01/2023-08-06/,1569.92,1.0,2023,8,OPO,1570.17,1570.17,1570.17,2023-03-20 02:40:41,True,-0.25,-0.01592184285777973
Nantes,França,100,62.8,easyJet,NTE,2023-09-29,2023-10-03,http://kayak.com/flights/OPO-NTE/2023-09-29/2023-10-03/,62.8,1.0,2023,9,OPO,62.81,72.66222222222223,65.45,2023-03-20 02:40:41,True,-0.010000000000005116,-0.015921031682861193
Cork,Irlanda,1965,125.6,Ryanair,ORK,2023-04-17,2023-04-24,http://kayak.com/flights/OPO-ORK/2023-04-17/2023-04-24/,125.6,1.0,2023,4,OPO,125.62,168.0907692307692,132.17,2023-03-20 02:40:41,True,-0.020000000000010232,-0.015921031682861193
Brisbane,Austrália,2625,2136.96,Várias companhias aéreas,BNE,2023-04-16,2023-04-23,http://kayak.com/flights/OPO-BNE/2023-04-16/2023-04-23/,2136.96,1.0,2023,4,OPO,2137.3,2137.3,2137.3,2023-03-20 02:40:41,True,-0.3400000000001455,-0.01590792120900882
Chiang Mai,Tailândia,2695,1446.2,Turkish Airlines,CNX,2023-07-27,2023-08-03,http://kayak.com/flights/OPO-CNX/2023-07-27/2023-08-03/,1446.2,1.0,2023,7,OPO,1446.43,1446.43,1446.43,2023-03-20 02:40:41,True,-0.2300000000000182,-0.015901218862994972
Macau,Macau,1945,1636.46,Várias companhias aéreas,MFM,2023-03-23,2023-03-28,http://kayak.com/flights/OPO-MFM/2023-03-23/2023-03-28/,1636.46,1.0,2023,3,OPO,1636.72,1636.72,1636.72,2023-03-20 02:40:41,True,-0.2599999999999909,-0.01588542939537556
Busuanga,Filipinas,3210,4347.02,Várias companhias aéreas,USU,2023-08-07,2023-08-14,http://kayak.com/flights/OPO-USU/2023-08-07/2023-08-14/,4347.02,1.0,2023,8,OPO,4347.71,4347.71,4347.71,2023-03-20 02:40:41,True,-0.6899999999995998,-0.015870423740304663
Abu Dhabi,Emirados Árabes Unidos,1825,567.05,Turkish Airlines,AUH,2023-12-02,2023-12-08,http://kayak.com/flights/OPO-AUH/2023-12-02/2023-12-08/,567.05,1.0,2023,12,OPO,567.14,567.14,567.14,2023-03-20 02:40:41,True,-0.09000000000003183,-0.015869097577323382
Saint John's,Antígua e Barbuda,2799,1071.29,American Airlines,ANU,2023-12-02,2023-12-09,http://kayak.com/flights/OPO-ANU/2023-12-02/2023-12-09/,1071.29,1.0,2023,12,OPO,1071.46,1071.46,1071.46,2023-03-20 02:40:41,True,-0.17000000000007276,-0.01586620125810322
Doha,Catar,2145,630.78,Várias companhias aéreas,DOH,2023-09-23,2023-09-27,http://kayak.com/flights/OPO-DOH/2023-09-23/2023-09-27/,630.78,1.0,2023,9,OPO,630.88,632.71,632.71,2023-03-20 02:40:41,True,-0.10000000000002274,-0.015850874968301853
Badajoz,Espanha,690,189.33,Iberia,BJZ,2023-07-03,2023-07-07,http://kayak.com/flights/OPO-BJZ/2023-07-03/2023-07-07/,189.33,1.0,2023,7,OPO,189.36,189.36,189.36,2023-03-20 02:40:41,True,-0.030000000000001137,-0.015842839036755985
Brasília,Brasil,1265,1011.31,TAP AIR PORTUGAL,BSB,2023-04-18,2023-04-25,http://kayak.com/flights/OPO-BSB/2023-04-18/2023-04-25/,1011.31,1.0,2023,4,OPO,1011.47,1758.2222727272726,1145.085,2023-03-20 02:40:41,True,-0.16000000000008185,-0.015818561104143657
